"CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
834,"France","Female",49,2,131394.56,1,"No","No",194365.76,"Si"
660,"Spain","Female",61,5,155931.11,1,"Si","Si",158338.39,"No"
776,"Germany","Female",32,4,109421.13,2,"Si","Si",126517.46,"No"
829,"Germany","Female",27,9,112045.67,1,"Si","Si",119708.21,"Si"
637,"Germany","Female",39,9,137843.8,1,"Si","Si",117622.8,"Si"
550,"Germany","Male",38,2,103391.38,1,"No","Si",90878.13,"No"
776,"Germany","Female",37,2,103769.22,2,"Si","No",194099.12,"No"
698,"Germany","Male",44,10,116363.37,2,"Si","No",198059.16,"No"
585,"Germany","Male",36,5,146050.97,2,"No","No",86424.57,"No"
511,"Spain","Female",66,4,0,1,"Si","No",1643.11,"Si"
614,"France","Male",51,4,40685.92,1,"Si","Si",46775.28,"No"
742,"Germany","Male",35,5,136857,1,"No","No",84509.57,"No"
687,"Germany","Female",27,9,152328.88,2,"No","No",126494.82,"No"
555,"Spain","Male",33,1,56084.69,2,"No","No",178798.13,"No"
684,"Spain","Male",56,8,78707.16,1,"Si","Si",99398.36,"No"
603,"Germany","Male",26,4,109166.37,1,"Si","Si",92840.67,"No"
751,"Germany","Female",36,6,169831.46,2,"Si","Si",27758.36,"No"
581,"Germany","Female",34,1,101633.04,1,"Si","No",110431.51,"No"
735,"Germany","Male",43,10,123180.01,2,"Si","Si",196673.28,"No"
661,"Germany","Female",35,5,150725.53,2,"No","Si",113656.85,"No"
675,"France","Female",21,8,98373.26,1,"Si","No",18203,"No"
738,"Germany","Male",58,2,133745.44,4,"Si","No",28373.86,"Si"
813,"France","Male",29,6,0,1,"Si","No",33953.87,"No"
657,"Spain","Female",37,0,163607.18,1,"No","Si",44203.55,"No"
604,"Germany","Female",25,5,157780.84,2,"Si","Si",58426.81,"No"
519,"France","Male",36,9,0,2,"No","Si",145562.4,"No"
735,"France","Female",21,1,178718.19,2,"Si","No",22388,"No"
664,"France","Male",55,8,0,2,"Si","Si",139161.64,"No"
678,"France","Female",32,9,0,1,"Si","Si",148210.64,"No"
757,"Spain","Male",33,5,77253.22,1,"No","Si",194239.63,"No"
416,"Germany","Female",41,10,122189.66,2,"Si","No",98301.61,"No"
665,"France","Female",34,1,96645.54,2,"No","No",171413.66,"No"
777,"France","Female",32,2,0,1,"Si","No",136458.19,"Si"
543,"France","Female",36,3,0,2,"No","No",26019.59,"No"
506,"France","Female",34,4,90307.62,1,"Si","Si",159235.29,"No"
493,"France","Female",46,4,0,2,"Si","No",1907.66,"No"
652,"Spain","Female",75,10,0,2,"Si","Si",114675.75,"No"
750,"Spain","Male",22,3,121681.82,1,"Si","No",128643.35,"Si"
729,"France","Male",30,9,0,2,"Si","No",151869.35,"No"
646,"France","Female",46,4,0,3,"Si","No",93251.42,"Si"
635,"Germany","Female",28,3,81623.67,2,"Si","Si",156791.36,"No"
647,"Spain","Female",44,5,0,3,"Si","Si",174205.22,"Si"
808,"France","Male",45,7,118626.55,2,"Si","No",147132.46,"No"
524,"France","Female",36,10,0,2,"Si","No",109614.57,"No"
769,"France","Male",29,8,0,2,"Si","Si",172290.61,"No"
730,"Spain","Male",42,4,0,2,"No","Si",85982.47,"No"
515,"Spain","Male",35,10,176273.95,1,"No","Si",121277.78,"No"
773,"Spain","Male",41,9,102827.44,1,"No","Si",64595.25,"No"
814,"Germany","Male",29,8,97086.4,2,"Si","Si",197276.13,"No"
710,"Spain","Male",22,8,0,2,"No","No",99645.04,"No"
413,"France","Male",34,9,0,2,"No","No",6534.18,"No"
665,"France","Female",40,6,0,1,"Si","Si",161848.03,"No"
623,"France","Female",44,6,0,2,"No","No",167162.43,"No"
738,"France","Male",31,9,82674.15,1,"Si","No",41970.72,"No"
528,"Spain","Male",36,7,0,2,"Si","No",60536.56,"No"
670,"Spain","Female",65,1,0,1,"Si","Si",177655.68,"Si"
622,"Spain","Female",46,4,107073.27,2,"Si","Si",30984.59,"Si"
582,"Germany","Male",32,1,88938.62,1,"Si","Si",10054.53,"No"
785,"Germany","Female",36,2,99806.85,1,"No","Si",36976.52,"No"
605,"Spain","Male",33,5,150092.8,1,"No","No",71862.79,"No"
636,"France","Male",42,2,0,2,"Si","Si",55470.78,"No"
804,"France","Female",50,4,0,1,"Si","Si",8546.87,"Si"
514,"France","Male",32,8,0,2,"Si","No",95857.18,"No"
694,"France","Female",30,9,0,2,"Si","Si",26960.31,"No"
547,"Germany","Female",39,6,74596.15,3,"Si","Si",85746.52,"Si"
531,"Spain","Female",36,9,99240.51,1,"Si","No",123137.01,"No"
498,"France","Male",34,2,0,2,"Si","Si",148528.24,"No"
651,"France","Male",36,7,0,2,"Si","No",13898.31,"No"
549,"Spain","Female",39,7,0,1,"No","No",81259.25,"Si"
791,"Germany","Female",35,7,52436.2,1,"Si","No",161051.75,"No"
650,"Spain","Male",41,9,0,2,"No","Si",191599.67,"No"
733,"Germany","Male",34,3,100337.96,3,"Si","No",48559.19,"Si"
811,"Germany","Female",34,1,149297.19,2,"Si","Si",186339.74,"No"
707,"France","Male",30,8,0,2,"Si","No",33159.37,"No"
712,"Germany","Male",28,4,145605.44,1,"No","Si",93883.53,"No"
706,"Spain","Female",37,7,0,2,"Si","Si",110899.3,"No"
756,"France","Male",62,3,0,1,"Si","Si",11199.04,"Si"
777,"France","Female",53,10,0,2,"Si","No",189992.97,"No"
646,"France","Male",35,6,84026.86,1,"No","Si",164255.69,"No"
807,"France","Male",42,7,118274.71,1,"Si","Si",25885.72,"No"
799,"France","Female",22,8,174185.98,2,"No","Si",192633.85,"No"
675,"France","Male",40,7,113208.86,2,"Si","No",34577.36,"No"
602,"Spain","Male",29,5,103907.28,1,"Si","No",161229.84,"No"
475,"France","Female",32,8,119023.28,1,"Si","No",100816.29,"No"
680,"France","Female",30,8,141441.75,1,"Si","Si",16278.97,"No"
749,"France","Male",40,1,139290.41,1,"Si","No",182855.42,"Si"
763,"France","Female",31,4,0,2,"No","No",50404.72,"No"
734,"France","Male",30,3,0,2,"Si","No",107640.25,"No"
716,"France","Male",35,4,144428.87,1,"Si","No",134132.65,"No"
594,"France","Male",35,2,0,2,"Si","No",103480.69,"No"
644,"France","Female",46,9,95441.27,1,"Si","No",108761.05,"Si"
671,"Germany","Male",35,1,144848.74,1,"Si","Si",179012.3,"No"
664,"Germany","Male",26,7,116244.14,2,"Si","Si",95145.14,"No"
656,"France","Male",50,7,0,2,"No","Si",72143.44,"No"
667,"Spain","Female",40,1,146502.07,1,"Si","No",19162.89,"No"
663,"Germany","Male",44,2,117028.6,2,"No","Si",144680.18,"No"
584,"Germany","Female",30,8,112013.81,1,"Si","No",177772.03,"Si"
626,"Spain","Female",37,6,108269.37,1,"Si","No",5597.94,"No"
485,"France","Male",29,7,182123.79,1,"Si","No",116828.51,"Si"
659,"Germany","Female",32,3,150923.74,2,"No","Si",174652.51,"No"
649,"France","Male",33,2,0,2,"Si","No",2010.98,"No"
805,"Spain","Female",39,5,165272.13,1,"Si","No",14109.85,"Si"
716,"Germany","Female",39,10,115301.31,1,"Si","No",43527.4,"Si"
642,"Germany","Female",40,6,129502.49,2,"No","Si",86099.23,"Si"
659,"France","Male",31,4,118342.26,1,"No","No",161574.19,"No"
545,"Spain","Female",47,5,0,2,"Si","Si",38970.14,"No"
543,"France","Male",22,8,0,2,"No","No",127587.22,"No"
718,"France","Female",25,7,0,2,"Si","No",30380.12,"No"
840,"France","Female",43,7,0,2,"Si","No",90908.95,"No"
630,"Germany","Female",34,9,106937.05,2,"Si","No",138275.01,"No"
643,"Germany","Male",59,3,170331.37,1,"Si","Si",32171.79,"No"
654,"Germany","Female",32,1,114510.85,1,"Si","Si",126143.23,"No"
582,"France","Male",39,5,0,2,"Si","Si",129892.93,"No"
659,"Spain","Male",32,3,107594.11,2,"Si","Si",102416.84,"No"
762,"Spain","Male",39,2,81273.13,1,"Si","Si",18719.67,"No"
568,"Spain","Female",32,7,169399.6,1,"Si","No",61936.22,"No"
670,"Spain","Male",25,6,0,2,"Si","Si",78358.94,"No"
613,"France","Female",45,1,187841.99,2,"Si","Si",147224.27,"No"
539,"France","Male",30,0,0,2,"Si","No",160979.66,"No"
850,"Spain","Female",57,8,126776.3,2,"Si","Si",132298.49,"No"
522,"Spain","Male",34,9,126436.29,1,"Si","No",174248.52,"Si"
737,"France","Male",41,1,101960.74,1,"Si","Si",123547.28,"No"
520,"France","Male",58,3,0,2,"No","Si",32790.02,"No"
706,"Spain","Male",28,3,0,2,"No","Si",181543.67,"No"
643,"Germany","Female",45,2,150842.93,1,"No","Si",2319.96,"Si"
648,"France","Female",50,9,102535.57,1,"Si","Si",189543.19,"No"
443,"Germany","Female",29,9,99027.61,2,"Si","No",10940.4,"No"
640,"France","Male",68,9,0,2,"Si","Si",199493.38,"No"
628,"Spain","Female",33,3,0,1,"Si","Si",188193.25,"No"
540,"Germany","Female",42,9,87271.41,2,"Si","No",172572.64,"No"
460,"Germany","Female",35,8,102742.91,2,"Si","Si",189339.6,"No"
636,"Germany","Male",34,2,40105.51,2,"No","Si",53512.16,"No"
593,"France","Female",29,2,152265.43,1,"Si","No",34004.44,"No"
801,"Spain","Male",42,4,141947.67,1,"Si","Si",10598.29,"No"
640,"Germany","Female",75,1,106307.91,2,"No","Si",113428.77,"No"
611,"Germany","Male",31,0,107884.81,2,"Si","Si",183487.98,"No"
802,"Germany","Male",31,1,125013.72,1,"Si","Si",187658.09,"No"
717,"Germany","Male",35,7,58469.37,2,"Si","Si",172459.39,"No"
769,"France","Female",39,8,0,1,"No","Si",21016,"No"
745,"Germany","Male",45,10,117231.63,3,"Si","Si",122381.02,"Si"
572,"Spain","Male",35,4,152390.26,1,"Si","No",128123.66,"No"
629,"Spain","Female",30,2,34013.63,1,"Si","No",19570.63,"No"
687,"Spain","Female",39,2,0,3,"No","No",188150.6,"Si"
483,"France","Female",50,9,0,2,"Si","Si",111020.24,"No"
690,"France","Male",36,7,101583.11,2,"Si","No",123775.15,"No"
492,"Germany","Female",30,10,77168.87,2,"No","Si",146700.22,"No"
709,"Germany","Male",28,8,124695.72,2,"Si","No",145251.35,"No"
705,"Germany","Male",44,3,105934.96,1,"Si","No",82463.69,"No"
560,"France","Female",66,9,0,1,"Si","Si",15928.49,"No"
611,"Spain","Male",46,6,0,2,"Si","No",45886.33,"No"
730,"Spain","Male",62,2,0,2,"Si","Si",186489.95,"No"
709,"Spain","Female",45,2,0,2,"No","Si",162922.65,"No"
544,"France","Female",21,10,161525.96,2,"Si","No",9262.77,"No"
712,"Germany","Female",29,7,147199.07,1,"Si","Si",84932.4,"No"
752,"Germany","Male",38,3,183102.29,1,"Si","Si",71557.12,"No"
648,"Spain","Male",46,9,127209,2,"Si","No",77405.95,"Si"
556,"Spain","Male",38,8,0,2,"No","No",417.41,"Si"
594,"Spain","Female",24,0,97378.54,1,"Si","Si",71405.17,"No"
645,"Germany","Female",37,2,136925.09,2,"No","Si",153400.24,"No"
557,"France","Male",33,3,54503.55,1,"Si","Si",371.05,"No"
547,"Germany","Male",32,8,155726.85,1,"Si","No",67789.99,"No"
701,"France","Female",39,9,0,2,"No","Si",145894.9,"No"
616,"France","Female",66,1,135842.41,1,"Si","No",183840.51,"Si"
605,"France","Male",52,1,63349.75,1,"Si","No",108887.44,"No"
593,"Germany","Female",38,4,129499.42,1,"Si","Si",154071.27,"No"
751,"Spain","Male",52,8,0,2,"No","Si",179291.85,"No"
443,"Spain","Male",36,6,70438.01,2,"No","Si",56937.43,"No"
685,"France","Male",23,8,0,2,"Si","Si",112239.03,"No"
718,"France","Male",36,9,0,1,"Si","No",45909.87,"No"
538,"Spain","Female",49,9,141434.04,1,"No","No",173779.25,"Si"
611,"Spain","Female",37,4,0,2,"Si","No",125696.26,"No"
756,"Germany","Female",60,3,115924.89,1,"Si","No",93524.19,"Si"
586,"France","Female",38,2,0,2,"Si","No",87168.46,"No"
535,"Germany","Male",40,7,111756.5,1,"Si","No",8128.32,"Si"
678,"France","Female",35,4,0,1,"Si","No",125518.32,"No"
596,"France","Male",39,9,0,1,"Si","No",48963.59,"No"
648,"France","Male",26,9,162923.85,1,"Si","No",98368.24,"No"
492,"Germany","Male",39,10,124576.65,2,"Si","No",148584.61,"No"
702,"France","Male",45,0,80793.58,1,"Si","Si",27474.81,"No"
486,"Germany","Female",40,9,71340.09,1,"Si","No",76192.21,"No"
568,"Germany","Male",40,1,99282.63,1,"No","No",134600.94,"Si"
619,"Germany","Male",57,3,137946.39,1,"Si","Si",72467.99,"Si"
724,"Germany","Male",41,2,127892.57,2,"No","Si",199645.45,"No"
548,"Germany","Female",33,0,101084.36,1,"Si","No",42749.85,"No"
545,"Germany","Female",37,8,114754.08,1,"Si","No",136050.44,"Si"
683,"France","Male",33,8,0,1,"No","No",73564.44,"No"
762,"France","Female",51,3,99286.98,1,"No","Si",85578.63,"No"
627,"Germany","Female",30,4,79871.02,2,"Si","No",129826.89,"No"
516,"France","Male",35,10,104088.59,2,"No","No",119666,"No"
800,"France","Female",38,2,168190.33,2,"Si","No",68052.08,"No"
464,"Germany","Female",42,3,85679.25,1,"Si","Si",164104.74,"No"
626,"France","Female",35,3,0,1,"No","No",80190.36,"No"
790,"France","Female",31,9,0,2,"Si","No",84126.75,"No"
534,"France","Female",34,7,121551.58,2,"Si","Si",70179,"No"
745,"France","Male",46,2,122220.19,1,"Si","Si",118024.1,"No"
553,"Spain","Male",47,3,116528.15,1,"No","No",145704.19,"Si"
748,"France","Female",26,1,77780.29,1,"No","Si",183049.41,"No"
722,"France","Male",37,2,0,1,"No","No",120906.83,"No"
501,"France","Male",40,4,125832.2,1,"Si","Si",100433.83,"No"
675,"France","Female",38,6,68065.8,1,"No","No",138777,"Si"
778,"Spain","Female",47,6,127299.34,2,"Si","No",124694.99,"No"
494,"Germany","Female",38,7,174937.64,1,"Si","No",40084.32,"No"
850,"France","Male",40,9,0,2,"No","Si",119232.33,"No"
601,"France","Male",44,1,100486.18,2,"Si","Si",62678.53,"No"
651,"France","Male",45,1,0,1,"Si","No",67740.08,"Si"
745,"France","Male",35,9,92566.53,2,"Si","No",161519.77,"No"
477,"Spain","Female",48,2,129120.64,1,"No","Si",26475.79,"No"
850,"Spain","Male",35,7,110349.82,1,"No","No",126355.8,"No"
427,"France","Male",29,1,141325.56,1,"Si","Si",93839.3,"No"
752,"France","Male",49,2,78653.84,1,"Si","No",7698.6,"No"
752,"Spain","Male",48,5,116060.08,1,"Si","No",156618.38,"Si"
706,"France","Female",29,5,112564.62,1,"Si","No",42334.38,"No"
583,"France","Female",27,1,125406.58,1,"Si","Si",110784.42,"No"
660,"Germany","Female",39,5,135134.99,1,"Si","No",173683,"Si"
819,"France","Female",39,9,133102.92,1,"Si","No",27046.46,"Si"
673,"France","Female",34,8,42157.08,1,"Si","No",20598.59,"Si"
752,"France","Female",30,3,0,2,"Si","Si",104991.28,"No"
578,"France","Male",38,7,82259.29,1,"Si","No",8996.97,"No"
438,"France","Female",36,4,0,2,"Si","No",64420.5,"No"
652,"France","Male",38,6,0,2,"Si","Si",145700.22,"No"
629,"France","Female",49,4,0,2,"Si","Si",196335.48,"No"
720,"France","Male",52,7,0,1,"Si","Si",14781.12,"No"
668,"France","Male",42,3,150461.07,1,"Si","No",108139.23,"No"
459,"Germany","Male",48,4,133994.52,1,"Si","Si",19287.06,"Si"
729,"Spain","Male",31,8,164870.81,2,"Si","Si",9567.39,"No"
498,"Germany","Male",25,8,121702.73,1,"Si","Si",132210.49,"No"
549,"Spain","Male",25,6,193858.2,1,"No","Si",21600.11,"No"
601,"Germany","Female",54,1,131039.97,2,"Si","Si",199661.5,"No"
544,"France","Male",64,9,113829.45,1,"Si","Si",124341.49,"No"
751,"France","Female",30,6,0,2,"Si","No",15766.1,"No"
632,"Germany","Female",41,3,81877.38,1,"Si","Si",33642.21,"No"
694,"Spain","Male",57,8,116326.07,1,"Si","Si",117704.65,"No"
678,"France","Male",31,2,0,2,"Si","Si",58803.28,"No"
695,"France","Male",46,4,0,2,"Si","Si",137537.22,"No"
661,"France","Female",41,1,0,2,"No","Si",131300.68,"No"
661,"France","Male",33,9,0,2,"Si","Si",84174.81,"No"
559,"France","Female",31,3,127070.73,1,"No","Si",160941.78,"No"
503,"France","Male",29,3,0,2,"Si","Si",143954.99,"No"
695,"Spain","Male",46,3,122549.64,1,"Si","Si",56297.85,"No"
640,"France","Female",42,5,176099.13,1,"Si","Si",8404.73,"No"
624,"Germany","Female",48,3,122388.38,2,"No","No",30020.09,"No"
667,"France","Male",42,9,0,2,"No","Si",58137.42,"No"
642,"France","Male",26,0,0,1,"No","No",47472.68,"No"
640,"Spain","Female",32,6,118879.35,2,"Si","Si",19131.71,"No"
529,"Spain","Male",35,5,0,2,"Si","Si",187288.5,"No"
563,"France","Female",39,5,0,2,"Si","Si",17603.81,"No"
711,"France","Female",25,7,0,3,"Si","Si",9679.28,"No"
673,"France","Female",40,5,137494.28,1,"Si","No",81753.92,"No"
499,"France","Female",57,1,0,1,"No","No",131372.38,"Si"
591,"France","Male",24,6,147360,1,"Si","Si",25310.82,"No"
769,"France","Female",25,10,0,2,"No","No",187925.75,"No"
657,"Spain","Male",31,3,125167.02,1,"No","No",98820.39,"No"
738,"Germany","Male",43,9,121152.05,2,"Si","No",64166.7,"Si"
545,"Germany","Female",60,7,128981.07,1,"No","Si",176924.21,"Si"
497,"France","Male",47,6,0,1,"Si","Si",90055.08,"No"
816,"Spain","Male",67,6,151858.98,1,"Si","Si",72814.31,"No"
525,"France","Male",36,2,114628.4,1,"No","Si",168290.06,"No"
725,"France","Male",46,6,0,2,"Si","No",161767.38,"No"
692,"France","Female",28,8,95059.02,2,"Si","No",44420.18,"No"
618,"France","Female",24,7,128736.39,1,"No","Si",37147.61,"No"
546,"France","Male",24,8,156325.38,1,"Si","Si",125381.02,"No"
635,"France","Male",29,7,105405.97,1,"Si","Si",149853.89,"No"
611,"France","Female",49,2,88915.37,3,"No","No",161435.02,"Si"
650,"France","Male",60,8,0,2,"Si","Si",102925.76,"No"
606,"France","Male",40,5,0,2,"Si","Si",70899.27,"No"
844,"France","Male",18,2,160980.03,1,"No","No",145936.28,"No"
450,"Spain","Female",46,5,177619.71,1,"Si","No",54227.06,"No"
727,"Spain","Male",38,2,62276.99,1,"Si","Si",59280.79,"No"
460,"Germany","Male",46,4,127559.97,2,"Si","Si",126952.5,"No"
649,"France","Male",41,0,0,2,"No","Si",130567.02,"No"
758,"Germany","Female",47,9,95523.16,1,"Si","No",73294.48,"No"
490,"France","Female",35,7,107749.03,1,"Si","Si",3937.37,"No"
815,"Germany","Male",37,2,110777.26,2,"Si","No",2383.59,"No"
838,"Spain","Female",39,5,166733.92,2,"Si","No",14279.44,"No"
803,"France","Male",31,9,157120.86,2,"Si","No",141300.53,"No"
664,"Germany","Female",36,2,127160.78,2,"Si","No",78140.75,"No"
736,"Spain","Female",28,2,0,2,"Si","Si",117431.1,"No"
517,"France","Male",41,2,0,2,"No","Si",75937.47,"No"
571,"France","Female",35,8,0,2,"No","No",84569.13,"No"
747,"Germany","Male",58,7,116313.57,1,"Si","Si",190696.35,"Si"
792,"Spain","Male",36,5,92140.15,1,"No","Si",67468.67,"No"
688,"France","Male",26,1,0,2,"Si","Si",104435.94,"No"
714,"Germany","Male",42,2,177640.09,1,"No","Si",47166.55,"No"
562,"Spain","Female",35,0,0,2,"Si","No",119899.52,"No"
704,"Spain","Male",48,8,167997.6,1,"Si","Si",173498.45,"No"
698,"France","Male",36,2,82275.35,2,"Si","Si",93249.26,"No"
611,"France","Male",49,3,0,2,"Si","Si",142917.54,"No"
850,"Germany","Female",48,6,111962.99,1,"Si","No",111755.8,"No"
743,"Germany","Female",34,1,131736.88,1,"Si","Si",108543.21,"No"
654,"France","Male",29,1,0,1,"Si","No",180345.44,"No"
761,"Germany","Male",36,8,108239.11,2,"No","No",99444.02,"No"
702,"France","Female",46,9,98444.19,1,"No","Si",109563.28,"No"
488,"Germany","Male",32,3,114540.38,1,"Si","No",92568.07,"No"
683,"France","Female",35,6,187530.66,2,"Si","Si",37976.36,"No"
601,"Germany","Female",42,9,133636.16,1,"No","Si",103315.74,"No"
605,"France","Male",52,7,0,2,"Si","Si",173952.5,"No"
671,"Germany","Female",44,0,84745.03,2,"No","Si",34673.98,"No"
614,"Germany","Female",31,7,120599.38,2,"Si","Si",46163.44,"No"
511,"Spain","Female",29,9,0,2,"No","Si",140676.98,"No"
850,"France","Male",39,4,127771.35,2,"No","Si",151738.54,"No"
790,"Spain","Female",46,9,0,1,"No","No",14679.81,"Si"
793,"France","Female",33,0,0,1,"No","No",175544.02,"No"
628,"France","Male",69,5,0,2,"Si","Si",181964.6,"No"
598,"Germany","Male",53,10,167772.96,1,"Si","Si",136886.86,"No"
657,"France","Female",37,6,95845.6,1,"Si","No",122218.23,"No"
618,"France","Female",35,10,0,2,"Si","No",180439.75,"No"
681,"Spain","Male",65,7,134714.7,2,"No","Si",190419.81,"No"
516,"Spain","Female",33,3,0,2,"Si","Si",58685.59,"No"
421,"Germany","Male",28,8,122384.22,3,"Si","Si",89017.38,"Si"
700,"France","Female",26,2,0,2,"No","No",50051.42,"No"
745,"France","Male",25,5,157993.15,2,"Si","No",146041.45,"No"
696,"France","Male",29,8,0,2,"Si","No",191166.09,"No"
580,"Germany","Female",42,2,123331.36,1,"No","No",103516.08,"Si"
497,"Spain","Male",27,9,75263.16,1,"Si","Si",164825.04,"No"
720,"France","Female",43,6,137824.03,2,"Si","No",172557.77,"No"
659,"Germany","Male",36,4,132578.92,2,"Si","No",84320.94,"No"
841,"France","Female",36,5,156021.31,1,"No","No",122662.98,"No"
642,"Spain","Male",34,8,0,1,"Si","No",72085.1,"No"
732,"Spain","Female",69,9,137453.43,1,"No","Si",110932.24,"Si"
600,"Spain","Male",36,4,0,2,"Si","No",143635.36,"No"
686,"Germany","Female",56,5,111642.08,1,"Si","Si",80553.87,"No"
553,"Spain","Female",48,3,0,1,"No","Si",30730.95,"Si"
507,"France","Male",36,4,83543.37,1,"No","No",140134.43,"No"
732,"Germany","Male",50,6,145338.76,1,"No","No",91936.1,"Si"
818,"France","Female",31,1,186796.37,1,"No","No",178252.63,"No"
660,"Germany","Male",35,8,58641.43,1,"No","Si",198674.08,"No"
773,"Spain","Female",41,5,0,1,"Si","No",28266.9,"Si"
640,"France","Male",44,3,137148.68,1,"Si","No",92381.01,"No"
505,"France","Male",49,7,80001.23,1,"No","No",135180.11,"No"
714,"Germany","Male",21,6,86402.52,2,"No","No",27330.59,"No"
468,"France","Female",42,5,0,2,"Si","No",125305.34,"No"
611,"Spain","Male",51,1,122874.74,1,"Si","Si",149648.45,"No"
705,"France","Male",25,0,97544.29,1,"No","Si",59887.15,"No"
646,"Germany","Male",46,1,170826.55,2,"Si","No",45041.32,"No"
667,"Germany","Female",48,1,97133.92,2,"No","No",113316.77,"Si"
511,"Germany","Female",41,8,153895.65,1,"Si","Si",39087.42,"No"
653,"France","Female",43,6,0,2,"Si","Si",7330.59,"No"
675,"France","Female",57,8,0,2,"No","Si",95463.29,"No"
523,"Spain","Male",32,4,0,2,"Si","No",167848.02,"No"
567,"Germany","Female",49,5,134956.02,1,"Si","No",93953.84,"Si"
741,"Spain","Male",39,7,143637.58,2,"No","Si",174227.66,"No"
456,"Spain","Male",32,9,147506.25,1,"Si","Si",135399.21,"No"
598,"France","Male",64,1,0,2,"Si","No",195635.3,"Si"
667,"France","Male",43,8,190227.46,1,"Si","No",97508.04,"Si"
548,"France","Female",32,2,172448.77,1,"Si","No",188083.77,"Si"
725,"France","Male",41,7,113980.21,1,"Si","Si",116704.25,"No"
717,"France","Male",53,6,0,2,"No","Si",97614.87,"No"
594,"France","Male",38,4,0,2,"No","No",186884.04,"No"
678,"Germany","Female",25,10,76968.12,2,"No","Si",131501.72,"No"
545,"France","Male",38,1,88293.13,2,"Si","Si",24302.95,"No"
621,"France","Female",40,6,0,1,"Si","No",155155.25,"No"
523,"France","Female",40,2,102967.41,1,"Si","No",128702.1,"Si"
657,"Germany","Male",25,2,171770.55,1,"Si","No",22745.5,"No"
727,"Germany","Male",40,1,93051.64,2,"Si","No",71865.31,"Si"
643,"France","Male",36,7,161064.64,2,"No","Si",84294.82,"No"
645,"France","Female",48,7,90612.34,1,"Si","Si",149139.13,"No"
568,"France","Male",28,5,145105.64,2,"Si","No",185489.11,"No"
714,"Germany","Female",36,1,101609.01,2,"Si","Si",447.73,"No"
738,"Spain","Male",35,3,0,1,"Si","Si",15650.73,"No"
639,"Germany","Male",38,5,130170.82,1,"Si","Si",149599.62,"No"
520,"Germany","Male",61,8,133802.29,2,"Si","Si",90304.01,"No"
