"","age","job","marital","education","default","balance","housing","loan","contact","y"
"22346",39,"blue-collar","married","primary","no",481,"no","no","cellular","no"
"14119",34,"technician","married","secondary","no",7487,"no","no","cellular","no"
"18270",49,"management","single","tertiary","no",493,"no","no","cellular","no"
"22762",39,"management","divorced","tertiary","no",517,"yes","yes","unknown","yes"
"19215",34,"technician","divorced","secondary","no",1301,"yes","no","cellular","no"
"22830",35,"blue-collar","married","primary","no",2212,"yes","no","cellular","no"
"19137",46,"management","married","tertiary","no",1514,"no","no","cellular","no"
"20421",55,"technician","married","secondary","no",3207,"no","no","cellular","no"
"16861",46,"admin.","single","secondary","no",1693,"yes","no","cellular","yes"
"11558",45,"management","married","tertiary","no",2671,"no","no","cellular","yes"
"11506",49,"technician","divorced","secondary","no",30,"no","yes","cellular","no"
"15866",34,"management","single","tertiary","no",2159,"no","no","unknown","yes"
"20009",53,"technician","married","tertiary","no",431,"yes","no","unknown","no"
"19337",43,"services","married","secondary","no",0,"no","no","unknown","no"
"15228",35,"blue-collar","married","secondary","no",1055,"no","no","unknown","yes"
"18010",37,"technician","married","secondary","no",177,"yes","no","cellular","no"
"10886",72,"retired","married","secondary","no",951,"no","yes","cellular","yes"
"15551",39,"blue-collar","married","primary","no",2366,"yes","no","cellular","no"
"11529",31,"unemployed","married","tertiary","no",330,"no","no","cellular","yes"
"11027",35,"blue-collar","married","primary","no",147,"yes","no","cellular","no"
"15024",46,"admin.","married","secondary","no",311,"no","no","cellular","no"
"15606",33,"management","married","tertiary","no",679,"no","no","cellular","yes"
"19866",34,"services","divorced","secondary","no",-240,"yes","no","cellular","no"
"18940",24,"student","single","tertiary","no",834,"no","no","cellular","yes"
"22721",32,"admin.","married","tertiary","no",118,"no","no","unknown","no"
"13798",57,"management","married","tertiary","no",4185,"yes","no","telephone","no"
"19934",30,"management","single","secondary","no",186,"yes","no","cellular","no"
"17889",27,"student","single","secondary","no",67,"no","no","telephone","yes"
"16826",42,"blue-collar","married","primary","no",201,"yes","no","cellular","yes"
"20955",52,"technician","married","unknown","no",370,"yes","no","cellular","no"
"16618",34,"technician","married","tertiary","no",8029,"yes","no","cellular","yes"
"20910",42,"technician","divorced","secondary","no",1533,"no","yes","cellular","no"
"15182",29,"technician","single","secondary","no",0,"no","no","cellular","no"
"10268",41,"admin.","single","secondary","no",812,"no","yes","unknown","yes"
"15405",46,"admin.","married","secondary","no",0,"yes","no","cellular","no"
"11228",39,"blue-collar","married","secondary","no",679,"yes","no","unknown","no"
"11237",54,"blue-collar","married","secondary","no",254,"yes","no","unknown","no"
"10846",35,"technician","married","secondary","no",5553,"yes","no","cellular","no"
"15178",28,"blue-collar","single","secondary","no",0,"no","yes","cellular","no"
"17288",39,"technician","married","secondary","no",1965,"yes","no","unknown","no"
"10781",27,"technician","single","secondary","no",2430,"yes","no","unknown","no"
"11226",75,"retired","divorced","tertiary","no",3810,"yes","no","cellular","yes"
"22003",30,"services","married","primary","no",-286,"yes","no","unknown","no"
"14678",29,"blue-collar","single","secondary","no",908,"yes","no","unknown","yes"
"20511",38,"blue-collar","divorced","primary","no",0,"no","no","unknown","no"
"15958",32,"blue-collar","single","secondary","no",-204,"yes","yes","unknown","no"
"19622",41,"management","divorced","tertiary","no",236,"no","no","cellular","no"
"21894",55,"management","divorced","secondary","no",204,"yes","no","cellular","yes"
"17984",32,"blue-collar","married","secondary","no",10287,"yes","no","cellular","yes"
"15539",35,"blue-collar","divorced","secondary","no",3102,"yes","no","cellular","no"
"18283",52,"management","divorced","tertiary","no",907,"yes","no","unknown","no"
"16299",28,"services","single","secondary","no",217,"yes","no","cellular","no"
"13473",46,"management","married","secondary","no",1114,"no","no","cellular","no"
"22241",26,"blue-collar","single","secondary","yes",-23,"yes","no","unknown","no"
"18650",49,"unknown","married","primary","no",341,"yes","yes","unknown","yes"
"20810",32,"technician","married","secondary","no",212,"yes","no","cellular","no"
"14626",44,"unknown","married","unknown","no",1317,"no","no","telephone","no"
"21566",43,"services","married","secondary","no",43,"yes","no","cellular","no"
"16235",37,"blue-collar","married","secondary","no",-83,"yes","no","cellular","no"
"19839",43,"blue-collar","married","primary","no",50,"no","no","unknown","no"
"19541",46,"admin.","single","secondary","no",1790,"yes","no","unknown","no"
"20231",40,"technician","married","secondary","no",-357,"yes","no","cellular","yes"
"15809",60,"admin.","divorced","secondary","no",-41,"yes","yes","cellular","yes"
"11540",47,"technician","married","tertiary","no",1694,"no","yes","unknown","yes"
"17859",28,"blue-collar","married","primary","no",113,"yes","no","unknown","no"
"19466",53,"services","divorced","secondary","no",36,"yes","yes","unknown","yes"
"20659",72,"retired","single","tertiary","no",1285,"no","no","telephone","no"
"22729",32,"management","single","tertiary","no",586,"yes","no","cellular","no"
"20144",33,"blue-collar","married","secondary","no",1988,"yes","no","unknown","no"
"11244",54,"technician","married","secondary","no",473,"no","yes","cellular","yes"
"20288",34,"technician","single","secondary","no",179,"no","no","cellular","no"
"21555",52,"self-employed","married","tertiary","no",730,"yes","no","cellular","no"
"12130",38,"technician","married","secondary","no",922,"yes","yes","cellular","no"
"14901",34,"blue-collar","married","secondary","no",1430,"yes","yes","cellular","no"
"22866",39,"blue-collar","married","primary","no",2288,"yes","no","cellular","no"
"15490",54,"entrepreneur","married","secondary","yes",401,"yes","no","cellular","no"
"14145",27,"admin.","married","secondary","no",1293,"yes","no","cellular","yes"
"12901",52,"management","married","tertiary","no",575,"no","no","unknown","no"
"14289",44,"technician","divorced","secondary","no",0,"yes","no","cellular","no"
"17505",37,"services","single","secondary","no",1045,"no","no","cellular","yes"
"11003",69,"retired","married","secondary","no",0,"no","no","cellular","yes"
"11774",31,"services","married","secondary","no",-30,"yes","yes","cellular","no"
"16374",52,"services","married","tertiary","no",1135,"yes","yes","unknown","no"
"20545",38,"technician","married","tertiary","no",4383,"no","no","cellular","yes"
"11839",41,"blue-collar","married","primary","no",219,"no","yes","unknown","yes"
"21377",50,"management","married","tertiary","no",3284,"yes","no","cellular","no"
"12673",39,"services","married","secondary","no",150,"no","no","unknown","no"
"19334",46,"services","married","primary","no",830,"yes","yes","cellular","no"
"22439",39,"unemployed","married","tertiary","no",1108,"yes","no","cellular","no"
"13194",35,"technician","divorced","secondary","no",5724,"yes","no","unknown","yes"
"21520",46,"management","married","tertiary","no",0,"yes","no","cellular","no"
"21800",25,"technician","single","secondary","no",1199,"no","no","cellular","yes"
"11884",41,"technician","divorced","secondary","no",75,"no","no","cellular","no"
"21538",74,"housemaid","married","unknown","no",161,"no","no","telephone","no"
"19256",28,"admin.","married","secondary","no",358,"no","no","cellular","no"
"13513",30,"technician","married","secondary","no",769,"yes","no","cellular","no"
"13264",41,"technician","single","secondary","no",5329,"no","no","cellular","yes"
"14770",47,"management","single","tertiary","no",372,"no","no","cellular","yes"
"20249",58,"retired","married","unknown","no",96,"yes","no","unknown","no"
"16930",30,"student","single","tertiary","no",0,"no","no","cellular","no"
"20985",32,"admin.","married","primary","no",1351,"yes","no","unknown","no"
"11521",26,"management","single","tertiary","no",9447,"no","no","cellular","no"
"16671",30,"management","single","tertiary","no",147,"no","no","cellular","no"
"11322",52,"self-employed","married","secondary","no",371,"yes","no","telephone","no"
"12285",54,"blue-collar","married","primary","no",551,"yes","no","cellular","no"
"10415",28,"student","single","tertiary","no",80,"yes","no","unknown","no"
"15692",36,"admin.","married","secondary","no",1733,"no","yes","cellular","no"
"15420",36,"management","single","tertiary","no",811,"no","no","cellular","yes"
"19666",31,"technician","single","secondary","no",2388,"no","no","cellular","no"
"11160",43,"blue-collar","married","primary","no",3131,"yes","no","unknown","no"
"12104",34,"blue-collar","single","tertiary","no",1168,"no","no","cellular","no"
"10981",36,"management","married","tertiary","no",521,"no","yes","cellular","no"
"16497",45,"blue-collar","married","secondary","no",61,"yes","yes","unknown","no"
"20610",37,"unemployed","married","unknown","no",4565,"no","no","cellular","no"
"19361",85,"retired","married","primary","no",12114,"no","no","telephone","yes"
"18819",33,"admin.","single","tertiary","no",235,"yes","no","cellular","yes"
"15587",93,"retired","married","unknown","no",775,"no","no","cellular","yes"
"21924",46,"management","married","tertiary","no",3,"no","no","cellular","no"
"10827",37,"management","married","tertiary","no",50,"no","yes","cellular","no"
"13889",28,"blue-collar","single","secondary","no",-127,"yes","no","cellular","yes"
"19435",49,"blue-collar","divorced","primary","no",0,"yes","no","cellular","no"
"15256",47,"management","married","secondary","no",490,"yes","no","unknown","no"
"14465",39,"management","married","tertiary","no",24,"no","no","cellular","no"
"20105",40,"admin.","married","secondary","no",220,"yes","no","unknown","no"
"10703",38,"technician","married","primary","no",-1038,"no","yes","cellular","no"
"17025",49,"admin.","married","secondary","no",209,"no","no","unknown","no"
"17497",54,"technician","married","secondary","no",10185,"no","no","cellular","yes"
"16312",29,"management","married","tertiary","no",5698,"no","no","cellular","no"
"15746",49,"technician","married","tertiary","no",1071,"no","no","cellular","yes"
"18618",24,"blue-collar","married","secondary","no",-389,"yes","yes","unknown","yes"
"21916",34,"management","married","tertiary","no",1778,"no","no","cellular","no"
"11919",35,"entrepreneur","single","tertiary","no",145,"yes","no","cellular","yes"
"11885",55,"retired","married","secondary","no",102,"yes","no","unknown","no"
"21045",46,"management","married","unknown","no",802,"yes","no","cellular","no"
"21462",36,"management","married","tertiary","no",139,"yes","no","cellular","no"
"14384",28,"management","single","tertiary","no",223,"yes","no","cellular","yes"
"13906",32,"services","single","secondary","no",2615,"no","no","cellular","yes"
"21885",25,"admin.","single","secondary","no",1871,"no","no","cellular","yes"
"12848",46,"management","married","tertiary","no",2817,"no","no","cellular","yes"
"15753",34,"self-employed","married","secondary","no",179,"yes","yes","cellular","no"
"13920",42,"technician","married","secondary","no",9324,"no","no","cellular","no"
"21869",42,"management","married","tertiary","no",0,"yes","no","cellular","no"
"14923",35,"blue-collar","single","primary","no",3751,"no","no","unknown","no"
"20475",48,"blue-collar","married","secondary","no",205,"no","no","cellular","no"
"19223",51,"management","married","tertiary","no",8304,"no","no","cellular","no"
"10210",39,"management","married","tertiary","no",606,"no","no","cellular","no"
"11248",32,"services","married","secondary","no",414,"yes","no","cellular","no"
"18115",37,"admin.","divorced","secondary","yes",-302,"no","no","unknown","no"
"11169",36,"technician","married","tertiary","no",202,"no","no","cellular","yes"
"13912",56,"blue-collar","married","primary","no",1798,"yes","no","unknown","no"
"21551",76,"retired","married","primary","no",3324,"no","no","cellular","yes"
"22361",43,"blue-collar","divorced","primary","no",1260,"no","yes","unknown","no"
"15988",29,"services","single","secondary","no",1357,"no","yes","unknown","no"
"12556",36,"technician","single","secondary","no",0,"no","no","cellular","no"
"15129",77,"retired","married","tertiary","no",699,"no","no","cellular","yes"
"12995",42,"unemployed","married","secondary","no",356,"yes","no","cellular","yes"
"12321",37,"blue-collar","married","secondary","no",6,"yes","no","unknown","no"
"21725",56,"management","married","primary","no",1172,"no","no","unknown","no"
"20633",29,"management","single","tertiary","no",-223,"no","yes","cellular","no"
"15618",27,"admin.","single","secondary","no",914,"no","no","cellular","no"
"21255",55,"services","married","unknown","no",1210,"yes","no","unknown","no"
"12904",40,"management","single","tertiary","no",383,"yes","no","unknown","no"
"16000",32,"unemployed","single","secondary","no",1249,"yes","no","cellular","no"
"17162",34,"housemaid","married","secondary","no",265,"no","no","cellular","no"
"18401",42,"technician","married","tertiary","no",725,"yes","yes","telephone","no"
"21265",40,"blue-collar","married","secondary","no",188,"yes","yes","unknown","yes"
"11647",38,"blue-collar","married","unknown","no",5830,"no","no","unknown","no"
"15209",31,"admin.","divorced","secondary","no",1352,"yes","no","unknown","no"
"15494",44,"unemployed","married","secondary","no",1543,"no","no","cellular","no"
"20543",51,"technician","married","secondary","no",130,"no","no","cellular","no"
"10353",25,"student","single","tertiary","no",20,"no","no","cellular","no"
"12548",40,"technician","divorced","secondary","no",-375,"yes","no","cellular","no"
"15067",37,"technician","married","unknown","no",189,"no","no","cellular","yes"
"16260",28,"admin.","married","secondary","no",-156,"yes","no","unknown","no"
"13652",24,"blue-collar","single","secondary","no",630,"yes","no","cellular","no"
"15887",43,"admin.","married","secondary","no",5048,"no","no","telephone","no"
"15568",32,"services","married","secondary","no",15,"yes","no","cellular","no"
"15201",55,"admin.","married","secondary","no",131,"yes","no","unknown","no"
"15775",54,"management","married","tertiary","no",2226,"yes","no","unknown","no"
"10985",52,"blue-collar","single","secondary","no",1541,"yes","no","unknown","no"
"19237",42,"services","married","secondary","no",-246,"yes","no","unknown","no"
"14020",47,"management","single","tertiary","no",4402,"no","no","telephone","yes"
"19532",31,"management","married","tertiary","no",2,"yes","no","cellular","no"
"15950",66,"retired","married","primary","no",747,"no","no","telephone","no"
"10256",36,"management","single","tertiary","no",0,"yes","no","unknown","no"
"18455",31,"blue-collar","married","secondary","no",932,"yes","no","unknown","no"
"15293",44,"admin.","single","secondary","no",1534,"no","no","cellular","yes"
"14800",57,"self-employed","married","secondary","no",7747,"no","no","cellular","no"
"18881",36,"technician","married","tertiary","no",60,"no","no","cellular","no"
"11301",52,"entrepreneur","married","tertiary","no",0,"no","no","unknown","no"
"17008",43,"services","married","secondary","no",-236,"yes","no","cellular","yes"
"21237",35,"unemployed","single","secondary","no",127,"yes","no","telephone","yes"
"15035",44,"management","married","tertiary","no",1383,"no","no","cellular","no"
"17215",50,"self-employed","married","secondary","no",-465,"yes","no","unknown","no"
"14711",25,"services","single","secondary","no",594,"no","no","cellular","yes"
"11911",37,"self-employed","single","tertiary","no",1004,"yes","no","unknown","no"
"19168",57,"management","married","tertiary","no",473,"no","no","cellular","yes"
"15396",34,"management","married","tertiary","no",3301,"yes","no","cellular","yes"
"21420",30,"admin.","divorced","secondary","no",891,"no","no","cellular","no"
"15701",52,"management","married","secondary","no",173,"no","no","unknown","no"
"14355",43,"housemaid","married","primary","no",1491,"no","no","telephone","no"
"20056",45,"admin.","divorced","tertiary","no",1506,"no","no","cellular","yes"
"22480",46,"management","married","tertiary","no",273,"yes","no","cellular","yes"
"11536",38,"management","married","secondary","no",96,"yes","no","cellular","no"
"16411",35,"self-employed","married","secondary","no",188,"yes","yes","unknown","yes"
"19939",47,"blue-collar","married","secondary","no",-423,"no","no","unknown","no"
"22846",48,"unemployed","married","secondary","no",926,"no","no","cellular","yes"
"19529",31,"housemaid","single","tertiary","no",287,"yes","no","cellular","no"
"10057",39,"unemployed","married","tertiary","no",201,"no","no","cellular","yes"
"13610",55,"technician","married","tertiary","no",-466,"yes","no","cellular","yes"
"14138",37,"admin.","married","secondary","no",2320,"yes","no","cellular","no"
"20188",52,"management","married","tertiary","no",583,"no","no","cellular","yes"
"14042",37,"self-employed","single","tertiary","no",1188,"no","no","cellular","yes"
"15225",41,"management","single","tertiary","no",1253,"no","no","cellular","yes"
"10722",32,"entrepreneur","single","tertiary","no",-34,"yes","no","cellular","yes"
"11274",26,"blue-collar","single","secondary","yes",-36,"yes","no","unknown","yes"
"16945",32,"management","married","tertiary","no",1331,"no","no","cellular","yes"
"21994",33,"technician","married","tertiary","no",1699,"no","no","cellular","yes"
"10003",45,"blue-collar","married","secondary","no",431,"yes","no","unknown","no"
"17222",52,"blue-collar","married","secondary","no",7119,"no","yes","telephone","yes"
"18919",51,"blue-collar","divorced","primary","no",83,"yes","no","unknown","no"
"16705",49,"technician","divorced","secondary","no",305,"no","no","cellular","yes"
"18412",49,"admin.","divorced","secondary","no",168,"yes","yes","unknown","yes"
"14438",35,"services","married","secondary","no",341,"yes","no","cellular","yes"
"20813",36,"management","single","unknown","no",62,"no","no","cellular","yes"
"11173",34,"management","married","tertiary","no",158,"no","no","cellular","yes"
"10894",33,"management","single","tertiary","no",383,"yes","no","cellular","no"
"13310",46,"entrepreneur","divorced","secondary","no",-563,"no","yes","cellular","yes"
"16785",34,"services","married","secondary","no",244,"no","no","cellular","no"
"16315",28,"blue-collar","married","primary","no",507,"yes","no","unknown","no"
"11842",24,"student","single","tertiary","no",235,"no","no","cellular","yes"
"17167",59,"blue-collar","married","secondary","no",410,"yes","no","cellular","no"
"10676",38,"technician","married","tertiary","no",51,"no","no","telephone","no"
"12222",40,"admin.","married","secondary","no",2574,"yes","no","cellular","yes"
"21921",58,"housemaid","married","primary","no",422,"no","no","unknown","no"
"11204",50,"blue-collar","married","primary","no",2212,"yes","no","unknown","no"
"15670",58,"admin.","married","unknown","no",5763,"no","no","cellular","no"
"14890",33,"admin.","married","tertiary","no",79,"yes","no","cellular","yes"
"17877",41,"blue-collar","married","secondary","no",72,"yes","no","cellular","no"
"21944",34,"admin.","married","secondary","no",48,"yes","no","cellular","yes"
"22344",40,"admin.","married","secondary","no",767,"yes","no","cellular","no"
"20868",51,"unemployed","divorced","secondary","no",-56,"yes","no","cellular","no"
"11745",32,"management","single","tertiary","no",354,"no","no","cellular","yes"
"16128",46,"admin.","married","unknown","no",2033,"no","no","cellular","no"
"20875",26,"management","single","tertiary","no",6840,"yes","no","unknown","yes"
"20163",34,"blue-collar","married","secondary","no",577,"no","no","unknown","no"
"21609",52,"management","married","tertiary","no",0,"no","no","cellular","no"
"10136",38,"technician","single","secondary","no",1130,"no","no","cellular","yes"
"10480",32,"management","single","tertiary","no",1836,"no","no","cellular","no"
"14580",49,"services","married","secondary","no",47,"no","no","unknown","no"
"13347",32,"technician","single","tertiary","no",1855,"no","no","cellular","yes"
"13299",24,"blue-collar","single","secondary","no",-287,"yes","no","cellular","no"
"18556",53,"admin.","married","secondary","no",2924,"no","no","cellular","no"
"14269",52,"blue-collar","married","primary","no",796,"no","no","cellular","no"
"18562",57,"technician","divorced","secondary","no",77,"yes","yes","cellular","no"
"16237",24,"student","single","tertiary","no",235,"no","no","cellular","yes"
"20676",35,"management","married","tertiary","no",0,"yes","no","cellular","no"
"11958",50,"technician","married","primary","no",249,"yes","no","unknown","no"
"13631",54,"management","married","tertiary","no",1464,"no","no","cellular","yes"
"18942",29,"services","divorced","secondary","no",-7,"yes","no","cellular","yes"
"17421",40,"technician","married","tertiary","no",2627,"yes","no","cellular","no"
"22736",21,"student","single","secondary","no",1746,"no","no","cellular","no"
"13839",35,"technician","divorced","tertiary","no",4515,"yes","no","cellular","no"
"13993",48,"blue-collar","married","primary","no",346,"yes","no","cellular","no"
"21634",27,"blue-collar","single","secondary","no",181,"no","no","unknown","no"
"12143",32,"admin.","married","secondary","no",51,"yes","yes","cellular","yes"
"16001",36,"management","married","tertiary","no",322,"yes","no","cellular","no"
"10197",38,"retired","married","unknown","no",304,"no","no","cellular","no"
"12937",36,"blue-collar","married","unknown","no",79,"yes","no","unknown","no"
"18897",31,"services","married","secondary","no",1801,"yes","no","telephone","no"
"19124",53,"technician","married","secondary","no",5303,"yes","no","telephone","yes"
"14948",30,"management","single","tertiary","no",119,"no","no","cellular","no"
"16514",36,"blue-collar","married","primary","no",-453,"yes","no","unknown","no"
"22575",31,"blue-collar","married","primary","no",2198,"no","no","unknown","no"
"22848",31,"blue-collar","married","secondary","no",1766,"no","yes","cellular","yes"
"14198",41,"services","divorced","tertiary","no",1583,"yes","no","cellular","yes"
"16012",34,"management","single","tertiary","no",2679,"yes","no","cellular","no"
"22321",32,"student","married","secondary","no",1536,"no","no","cellular","yes"
"17469",47,"admin.","married","secondary","no",3480,"no","no","cellular","yes"
"17381",34,"admin.","married","secondary","no",1049,"yes","no","unknown","no"
"19641",31,"blue-collar","single","secondary","no",33,"yes","no","unknown","no"
"20227",33,"unemployed","married","primary","no",574,"yes","no","cellular","no"
"21156",43,"management","married","tertiary","no",28,"yes","no","cellular","no"
"11549",62,"housemaid","married","secondary","no",2,"no","no","cellular","yes"
"11087",58,"entrepreneur","married","secondary","no",496,"no","no","cellular","yes"
"15776",48,"technician","married","secondary","no",480,"no","yes","cellular","no"
"16890",25,"management","married","unknown","no",448,"no","no","cellular","yes"
"19545",42,"admin.","single","secondary","no",2790,"yes","no","cellular","no"
"12172",28,"services","married","secondary","no",3019,"no","no","unknown","no"
"16034",57,"management","married","tertiary","no",1227,"no","no","cellular","yes"
"21031",45,"blue-collar","divorced","primary","no",1512,"yes","no","cellular","no"
"13735",33,"technician","divorced","secondary","no",273,"yes","no","cellular","no"
"20419",41,"admin.","divorced","secondary","no",1076,"yes","no","cellular","no"
"14507",29,"management","single","tertiary","no",502,"no","no","cellular","no"
"19091",28,"management","single","tertiary","no",874,"yes","no","cellular","yes"
"11446",50,"technician","married","secondary","no",0,"yes","no","unknown","no"
"11561",33,"management","single","tertiary","no",816,"yes","no","cellular","yes"
"11797",35,"technician","married","secondary","no",0,"yes","yes","unknown","no"
"18705",28,"services","divorced","secondary","no",9,"yes","no","cellular","no"
"10641",62,"management","married","tertiary","no",2785,"no","no","cellular","yes"
"16677",39,"blue-collar","married","secondary","no",0,"yes","no","cellular","no"
"19468",33,"blue-collar","married","secondary","yes",-406,"yes","yes","cellular","no"
"18402",54,"technician","married","tertiary","no",446,"no","no","cellular","no"
"10444",37,"technician","single","tertiary","no",6101,"no","no","cellular","yes"
"16331",37,"services","married","secondary","no",6089,"yes","no","cellular","yes"
"19213",32,"student","single","unknown","no",0,"no","no","unknown","no"
"15429",42,"blue-collar","single","primary","no",-95,"yes","no","cellular","no"
"14229",33,"blue-collar","divorced","secondary","no",75,"yes","yes","unknown","no"
"14175",33,"technician","single","secondary","no",1429,"yes","no","cellular","yes"
"13246",48,"management","married","tertiary","no",2266,"no","no","cellular","yes"
"14350",53,"blue-collar","married","primary","no",241,"yes","no","cellular","no"
"19886",49,"admin.","married","secondary","no",0,"no","no","cellular","yes"
"18292",44,"services","divorced","secondary","no",0,"yes","no","cellular","no"
"21536",27,"services","single","secondary","no",2153,"yes","no","unknown","no"
"13901",47,"management","married","secondary","no",2010,"no","no","telephone","no"
"13346",56,"admin.","divorced","secondary","no",3337,"yes","no","telephone","no"
"20355",59,"retired","divorced","tertiary","no",381,"yes","no","unknown","no"
"15247",45,"admin.","married","secondary","no",67,"no","no","cellular","no"
"16342",31,"blue-collar","single","secondary","no",1979,"yes","yes","cellular","yes"
"18766",44,"admin.","married","secondary","no",1423,"yes","no","unknown","no"
"14072",57,"blue-collar","married","primary","no",211,"yes","no","cellular","no"
"21467",38,"admin.","married","secondary","no",981,"yes","yes","cellular","no"
"15735",34,"management","married","tertiary","no",250,"no","no","cellular","no"
"17846",30,"blue-collar","married","primary","no",4,"yes","no","unknown","no"
"10171",30,"blue-collar","married","secondary","no",167,"yes","no","cellular","yes"
"22488",41,"technician","single","secondary","no",618,"no","no","cellular","no"
"20235",38,"self-employed","married","secondary","no",29125,"no","no","unknown","no"
"18384",36,"technician","married","secondary","no",377,"yes","yes","cellular","no"
