"","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindSpeed9am","Humidity9am","Pressure9am","Temp9am"
"50393",-1.5,18,0,NA,NA,"NNW",24,6,57,1027.5,10.2
"50394",0.2,21.2,0,NA,NA,"NNW",22,6,63,1032.6,11.1
"50395",1.6,23.9,0,NA,NA,"W",39,6,62,1026.7,13.7
"50396",2.1,25,0,NA,NA,"W",61,17,48,1020,18.1
"50397",5.3,27.5,0,NA,NA,"W",72,15,39,1014.8,19.9
"50398",10.9,14.2,0.2,NA,NA,"SSE",35,7,87,1019.1,12.7
"50399",1.3,16.6,10,NA,NA,"S",35,17,54,1015.1,8.2
"50400",5.5,16.4,0,NA,NA,"N",31,9,68,1016.2,8.9
"50401",5.8,15.7,0,NA,NA,"W",26,11,66,1012.5,9.8
"50402",1.6,17.3,0,NA,NA,"WNW",35,0,76,1010.5,8.6
"50403",5.4,9.3,19.6,NA,NA,"SSW",30,11,91,1006.8,5.7
"50404",3.8,15,20.2,NA,NA,"S",56,26,70,1009.8,8.8
"50405",1.9,13.9,0,NA,NA,"SSW",33,7,68,1020.1,8.7
"50406",3.2,18.5,8.4,NA,NA,"NNW",31,2,94,1025.6,8.2
"50407",1.3,24.2,0,NA,NA,"WNW",41,2,77,1025,10
"50408",6,24.4,0,NA,NA,"W",65,2,61,1019.7,14.6
"50409",9.2,22.9,0,NA,NA,"WSW",41,11,37,1016.5,13.6
"50410",3.5,21.6,0,NA,NA,"N",24,4,74,1022.4,10.6
"50411",5,25.7,0,NA,NA,"NW",33,6,70,1016.2,13.3
"50412",5.7,26.2,0,NA,NA,"WNW",43,6,65,1011.1,15.9
"50413",6,22.3,0,NA,NA,"W",57,11,48,1013.3,17
"50414",3.4,15.7,0,NA,NA,"SSW",54,20,46,1017.6,9.3
"50415",1.6,19.5,0,NA,NA,"SSE",35,11,60,1027.7,10.1
"50416",1.7,24.1,0,NA,NA,"N",33,4,68,1023,11
"50417",5.3,26.5,0,NA,NA,"WNW",61,0,68,1012.9,13.1
"50418",4.5,21.4,0,NA,NA,"W",48,13,53,1009,15.6
"50419",1.8,20.1,0,NA,NA,"ENE",24,6,57,1015.5,10.9
"50420",4.5,21.3,0,NA,NA,"N",28,7,65,1025,10.4
"50421",6.1,23.8,0,NA,NA,"WSW",28,6,75,1024.2,11.9
"50422",6.5,26.3,0,NA,NA,"WNW",28,4,64,1019.2,15
"50423",6.4,29.7,0.2,NA,NA,"WNW",37,4,68,1018.1,15.9
"50424",8.9,23.2,0,NA,NA,"WNW",54,9,63,1007.8,17.4
"50425",3,22,0,NA,NA,"ENE",31,17,48,1014,11.3
"50426",10.4,18.4,0,NA,NA,"NE",26,9,69,1019.6,12.6
"50427",9.7,26.1,0,NA,NA,"W",33,4,66,1019.5,14.1
"50428",8.1,29.2,0,NA,NA,"N",33,4,62,1018,17.8
"50429",14.3,29,0,NA,NA,"NNW",43,2,54,1016.2,20.9
"50430",16.3,18,9.8,NA,NA,"W",28,15,99,1012.7,16.8
"50431",12.1,24.6,17.2,NA,NA,"WNW",33,11,91,1011.9,15.9
"50432",10.9,22.3,0.4,NA,NA,"W",39,2,85,1015.3,15.1
"50433",9,19.5,0,NA,NA,"ESE",37,13,54,1022.1,11.6
"50434",3,21.5,0,NA,NA,"E",28,4,62,1027.6,12.2
"50435",5.2,25.7,0,NA,NA,"W",39,7,63,1022.6,14.7
"50436",7.8,26.4,0,NA,NA,"ESE",35,9,56,1019.5,15.7
"50437",10,22.3,0,NA,NA,"ENE",35,9,70,1018.4,13.1
"50438",11.4,25.8,0,NA,NA,"W",37,7,76,1013.8,15
"50439",11.6,23.7,0,NA,NA,"E",44,6,52,1010.3,16.5
"50440",8.1,22.1,3.8,NA,NA,"E",35,7,77,1015.2,11.9
"50441",11.4,21.8,0,NA,NA,"WSW",44,15,69,1010.7,14.8
"50442",5.6,19.9,0,NA,NA,"SSE",57,20,58,1014.1,14.8
"50443",5.9,22.4,0,NA,NA,"NE",30,13,57,1022.6,13.9
"50444",6.8,29,0,NA,NA,"W",39,11,71,1015.8,13.7
"50445",12.2,22.8,0,NA,NA,"ENE",31,7,60,1015.8,16.3
"50446",11.3,27.2,0,NA,NA,"ENE",31,9,65,1019.6,14.7
"50447",8.3,29.9,0,NA,NA,"WNW",31,4,65,1017.5,16.7
"50448",10.2,33.6,0,NA,NA,"WNW",31,6,52,1016.1,20.8
"50449",12,31.3,0,NA,NA,"W",31,2,49,1015.1,23.4
"50450",12.6,28.7,0,NA,NA,"N",35,9,73,1016.2,18.5
"50451",14.4,25.5,8.2,NA,NA,"E",30,7,79,1017.6,18.3
"50452",16.7,34.5,0,NA,NA,"WNW",31,9,76,1016,20
"50453",18.5,33.5,0,NA,NA,"NNW",54,11,57,1013.2,27.1
"50454",8.6,32.3,0,NA,NA,"NNW",50,6,37,1011.2,22.1
"50455",11.7,30.9,0,NA,NA,"ENE",46,11,54,1011.5,19.6
"50456",13.2,32,0,NA,NA,"NE",43,6,68,1017.2,15.4
"50457",12.1,37.1,0,NA,NA,"NE",35,2,46,1015,23.2
"50458",14.7,39.7,0,NA,NA,"ESE",61,0,39,1014.6,26.1
"50459",16,37.3,1.4,NA,NA,"SW",59,4,61,1019.6,23
"50460",17.6,36,0.8,NA,NA,"N",31,7,64,1021,21.9
"50461",20.4,37.4,0,NA,NA,"WNW",74,22,29,1005.6,29.7
"50462",14.3,25.5,0,NA,NA,"N",37,15,54,998.5,15.6
"50463",12.7,29.4,0.4,NA,NA,"ENE",37,7,60,1008.6,16.6
"50464",13.5,35.3,0,NA,NA,"NW",41,6,70,1008.4,19.3
"50465",13.6,37.9,0,NA,NA,"WSW",57,2,58,1007,20.2
"50466",18.7,27.6,0,NA,NA,"E",31,9,65,1009.7,20.5
"50467",10.4,23.1,5.4,NA,NA,"SSE",46,19,52,1016.2,12.9
"50468",7.9,28.7,0,NA,NA,"NNE",30,7,58,1017.8,15.2
"50469",10.9,33.8,0,NA,NA,"ENE",39,6,64,1014.1,19
"50470",11.7,36.6,0,NA,NA,"N",35,2,65,1011.3,19.4
"50471",14.4,40.1,0,NA,NA,"W",61,0,33,1003.5,26.7
"50472",17.2,26.4,0,NA,NA,"E",31,11,77,1011.4,18.6
"50473",15.4,29.9,0,NA,NA,"ENE",35,6,62,1016,18.1
"50474",17.4,33.9,0,NA,NA,"E",33,6,69,1014.5,20.1
"50475",16.6,35,0,NA,NA,"W",44,13,56,1009.9,24.3
"50476",17.1,29,0,NA,NA,"E",44,11,67,1014.4,19.7
